,statement_id,statement,creator,validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_difficult_words.1,True_gunning_fog,True_text_standard,characters,words,avg_word_length,numbers,sentences,unique_word_ratio,sentiment_index,hatred_index,support,opposed,neutral,Label
211,10,"although molecular tests have been the main way to diagnose covvi-19 acute infection, blood tests gain importance to diagnose minor infections or support the diagnosis of difficulty in breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",augmented,True,19.37,0.0,21.2,15.04,25.9,13.85,15,30.5,15,24.64,-1th and 0th grade,278,43,5.44,0,1,0.81,0.0511,0.0323,0.994108915,0.002092011,0.003799104,1
137,48,Weight gain was present in 87% and weight loss in 13% of patients hospitalized with COVID-19. Most patients present excess body weight according to body mass index. Covid-19 patients recovered their weight after hospitalization.,human,True,68.47,9.7,6.5,13.61,11.3,10.23,7,6.0,7,9.23,9th and 10th grade,228,32,5.81,2,3,0.78,0.0437,0.0213,0.989934862,0.00272769,0.007337418,1
181,1,"we evaluated 298 people and identified twelve positive cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea and cough. our data confirms the importance of early identification of asymptomatic carriers.",augmented,True,32.19,15.0,12.2,15.25,13.1,10.86,14,11.16666667,14,15.24,14th and 15th grade,281,38,5.97,3,3,0.74,0.4177,0.0187,0.994080961,0.002458993,0.003460029,1
207,9,"covid-19 patients with repeated epileptic seizures had more underlying neurological diseases than in patients with epilepsy history but without a seizure. patients with new start-up and repeated epileptic seizures suffer from a more serious/critical covid-19, which can lead to a worse prognosis.",augmented,True,41.7,0.0,12.7,16.94,17.7,9.94,10,14.0,10,14.11,13th and 14th grade,296,43,5.84,0,2,0.74,0.0115,0.0277,0.993106186,0.002112981,0.004780849,1
148,59,"We reached consensus on the applicability of diagnostic tools to provide testing algorithms for the use of antibody tests of high-affinity antibodies for asymptomatic subjects exposed to SARS-CoV-2. Antibody tests for high affinity antibodies should be performed ideally 21 days after potential infectious contact, given that most exposed individuals will have begun to produce antibodies by then.",human,True,17.17,0.0,17.9,17.12,21.0,12.53,19,22.25,19,19.82,17th and 18th grade,397,56,6.0,1,2,0.8,0.1011,0.0376,0.879832089,0.001914312,0.118253522,1
18,16,"In the phase 1 trial, the potential vaccine formula generated a robust antibody response that remained consistently high in all participants 3 months after the second vaccination. In the phase 2 trial, the potential vaccine formula demonstrated improved safety outcomes.",chatgpt,False,25.8,0.0,14.6,15.66,15.8,12.52,15,15.0,15,16.0,15th and 16th grade,270,37,6.05,3,2,0.73,0.7833,0.0179,0.001784074,0.997257888,0.000958043,0
35,23,"Down Syndrome, a genetic condition caused by trisomy 21, is characterized by immune dysregulation and anatomical differences in the upper respiratory tract, which have been observed to potentially mitigate the severity of COVID-19 infections.",chatgpt,False,3.13,0.0,21.3,18.11,24.5,14.61,15,28.0,15,26.54,-1th and 0th grade,242,33,6.15,1,1,0.94,0.014,0.0467,0.984150231,0.006951191,0.008898648,0
49,20,"It appears that the mode of virus transmission involved various forms of transportation, including car travel on highways and motorways. Interestingly, certain aspects of travel, such as ""solo"" driving or passenger cars, which were initially perceived by the public as potentially advantageous, may have inadvertently contributed to the initial spread of the virus.",chatgpt,False,27.66,0.0,16.0,16.31,19.7,12.1,20,19.25,20,18.9,15th and 16th grade,365,53,5.74,0,2,0.83,0.0188,0.0357,0.336094767,0.556213081,0.107692137,0
175,1,"we evaluate 298 people and identify twelve positive cases. 75% of positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea and cough. our data confirms the importance of early identification of asymptomatic carriers.",augmented,True,32.6,15.0,12.0,14.89,12.9,11.01,14,11.0,14,15.32,14th and 15th grade,274,37,5.97,3,3,0.76,0.3928,0.0161,0.994044125,0.002324418,0.003631579,1
149,60,A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,human,True,52.19,0.0,10.7,12.94,13.6,11.23,12,12.5,12,11.81,12th and 13th grade,243,34,5.65,4,2,0.65,0.2828,0.0206,0.00194186,0.995754123,0.002303985,1
11,5,"In Hawaii, white Caucasians comprise 10%, Asians including Japanese, Chinese, and other Asians account for 40%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise 5%. We discovered that the COVID-19 rate in the Asian group was the highest among all the groups, and they accounted for almost 50% of cases",chatgpt,False,60.99,0.0,11.5,11.78,16.7,12.29,13,16.5,13,15.24,11th and 12th grade,335,49,5.31,5,2,0.8,0.0569,0.0923,0.013505138,0.963618994,0.022875899,0
160,71,Early experience with COVID-19 patients suggests that gastrointestinal symptoms are common and associated with greater severity of illness.,human,True,19.37,0.0,15.0,21.11,19.5,15.06,9,13.0,9,16.09,14th and 15th grade,139,18,6.72,0,1,0.94,0.019,0.017,0.984045863,0.00713312,0.008820993,1
163,74,Intravenous recombinant ACE2 was reported as an effective therapy in severe COVID-19 by blocking the viral entry to target cells.,human,True,34.26,0.0,13.5,14.04,14.5,15.68,10,15.0,10,18.0,14th and 15th grade,129,20,5.45,0,1,1.0,0.266,0.0352,0.993843436,0.003082967,0.003073573,1
22,37,"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis (22.5% vs 17.8%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, and cardiovascular disease.""",chatgpt,False,34.63,11.9,11.2,15.81,14.0,15.34,13,7.0,13,12.76,11th and 12th grade,248,32,6.16,2,3,0.88,0.0127,0.0494,0.006679305,0.987510204,0.005810446,0
189,4,the intravenous recombinant ace2 was reported as effective therapy in difficult covid-19 by preventing the virus into the target cells.,augmented,True,25.8,0.0,14.6,15.78,15.9,14.89,8,17.0,8,22.0,14th and 15th grade,135,20,5.75,0,1,0.9,0.2933,0.0324,0.991855621,0.004162703,0.003981646,1
199,6,microscopic anomalies have been observed in the fingers and nails of patients with covid-19. this suggests that gilblaines could be a symptom of covid-19.,augmented,True,76.22,0.0,5.6,12.51,10.3,11.47,7,5.5,7,6.47,5th and 6th grade,154,24,5.38,0,2,0.92,0.0147,0.0367,0.991761684,0.002171834,0.006066453,1
161,72,Patients hospitalized and in the ICU because of COVID-19 have a higher metabolism and require more calories than their non-COVID counterparts.,human,True,41.7,0.0,12.7,15.61,16.4,12.95,7,13.5,7,14.11,12th and 13th grade,142,21,5.76,0,1,0.95,0.02,0.0176,0.991535068,0.003287067,0.005177932,1
183,2,"during the 14-day study period, six patients survived, two were extubeized and one was released. the results imply white blood cells as a therapeutic target for covid-19.",augmented,True,66.23,0.0,7.4,11.77,10.4,11.91,9,6.75,9,8.36,11th and 12th grade,170,27,5.07,1,2,0.96,0.3045,0.0214,0.991733551,0.002073007,0.006193436,1
12,17,"Without the initial lockdown, vaccination, and increased physical distancing, we estimated only 1 million COVID-19 cases, and 10,000 deaths would occur in the UK over 10 years. In the best-case scenario, vaccination does not minimize community transmission without future periods of increased physical distancing.",chatgpt,False,23.77,0.0,15.4,17.0,18.5,12.98,15,16.5,15,16.07,16th and 17th grade,313,41,6.2,3,2,0.83,0.0369,0.0522,0.002537447,0.995308578,0.002153923,0
27,19,"After receiving a third Pfizer vaccine, individuals in the immunocompromised and senior population experienced reactions that were consistent with those observed in previous vaccinations. These reactions were largely self-resolving, with fatigue, myalgia, and fever being the most commonly reported systemic side effects (19.6%, 9.2%, and 8.1% respectively).",chatgpt,False,21.7,15.5,14.1,18.85,17.7,13.82,22,12.5,22,17.34,13th and 14th grade,358,44,6.57,3,2,0.84,0.0392,0.0204,0.081846565,0.906508327,0.011645114,0
4,23,"According to the study, viral shedding in fecal matter is not a significant source of transmission for COVID-19, and it is not necessary to include fecal testing as part of the diagnostic criteria for the virus.",chatgpt,False,34.94,0.0,17.3,11.04,19.6,12.0,11,24.0,11,21.07,11th and 12th grade,211,36,4.81,0,1,0.78,0.0145,0.0737,0.007432547,0.989512742,0.003054697,0
130,41,"While Test A failed to detect SARS-CoV-2 antibodies in 37Â–84% of non-hospitalised patients, Test B detected antibodies in 79%. Test C detected antibodies in 95% of non-hospitalised patients. Antibody levels were initially low, increased over time, and increased as the disease got worse.",human,True,48.5,13.0,10.0,13.27,12.6,12.06,10,10.16666667,10,10.37,12th and 13th grade,288,40,5.67,4,3,0.72,0.0168,0.0302,0.994751155,0.002034464,0.0032144,1
206,9,"patients with covid-19 with recurrent epileptic seizures had more underlying neurological diseases than patients who had a history of epilepsy but without convulsions. patients with recurrent and starting epileptic seizures suffered a more serious/critical covid-19, which can lead to a worse prognosis.",augmented,True,33.24,0.0,13.8,18.1,18.5,10.69,13,14.5,13,15.07,18th and 19th grade,303,43,6.0,0,2,0.72,0.0089,0.0259,0.993817747,0.002689179,0.003493088,1
224,13,"9.1% of all patients required access to the intensive care unit (icu), of which 83% died. the average length of icu residence was 11 days. correspondingly, the mortality rates for blood groups a, b, ab and 0 were 86.4%, 93.3%, 80.0%and 70.8%, showing similar mortality in all abo blood types. when the rh phenotype was taken into account, no significant changes were observed in the results.",augmented,True,66.54,10.8,7.3,8.28,8.4,13.14,14,7.4,14,10.13,7th and 8th grade,391,59,4.78,8,4,0.76,0.0113,0.0229,0.990275621,0.001948699,0.007775683,1
64,1,"Recent advancements in mRNA vaccines have revolutionized the field by enhancing protein translation, fine-tuning both innate and adaptive immunogenicity, and optimizing delivery mechanisms. These innovative vaccine formulations represent a cutting-edge approach to combatting infectious diseases and have emerged as trailblazers in the fight against COVID-19, obtaining worldwide authorization as the pioneering COVID-19 vaccines.",chatgpt,False,2.28,0.0,19.5,23.38,25.4,14.19,28,22.25,28,23.43,22nd and 23rd grade,430,53,7.04,0,2,0.83,0.8403,0.0161,0.008740991,0.979286909,0.01197207,0
40,27,"The evaluation results indicate promising diagnosis accuracy, ranging from 89% to 99%, suggesting the potential effectiveness of the proposed method for early detection and classification of COVID-19 through image processing using X-ray images. The method offers a streamlined approach with an end-to-end structure, minimizing the reliance on manual feature extraction and selection methods.",chatgpt,False,10.74,0.0,18.3,18.92,22.0,15.08,28,20.25,28,21.17,18th and 19th grade,391,51,6.43,2,2,0.88,0.8119,0.0101,0.976850748,0.00618991,0.016959384,0
123,34,"The COVID-19 epidemic could be controlled by alternating one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdownÂ’s duration is well circumscribed, could be important also to alleviate coronavirus impact on economy.",human,True,40.18,0.0,13.2,14.74,16.3,11.42,14,15.75,14,16.11,15th and 16th grade,298,46,5.39,0,2,0.85,0.1093,0.0428,0.924985051,0.014407945,0.060607105,1
60,1,"When controlling for age, severity of illness, and co-morbidities, it was found that tocilizumab was not associated with fewer deaths in this study. However, further analysis revealed that the use of tocilizumab did result in a significant reduction in the duration of hospitalization and a lower incidence of severe respiratory complications among the treated patients.",chatgpt,False,26.64,0.0,16.4,15.61,19.4,11.6,21,20.25,21,19.73,19th and 20th grade,370,55,5.64,0,2,0.78,0.0931,0.0169,0.953228354,0.036913235,0.009858403,0
100,11,"150 patients were randomized to favipiravir or the control group. Median time to the cessation of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.",human,True,61.67,11.2,9.1,10.15,10.8,10.67,13,11.0,13,10.9,10th and 11th grade,319,47,5.28,6,3,0.6,0.032,0.0187,0.008830946,0.002694536,0.988474548,1
85,5,"A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group. Additionally, the anakinra-treated group exhibited a lower rate of ICU admissions (12%) compared to the control group (42%). The anakinra treatment also resulted in a shorter duration of hospital stay, with an average of 10 days for the treated group compared to 18 days for the control group.",chatgpt,False,49.65,13.8,11.7,11.89,14.1,10.39,21,14.25,21,13.25,13th and 14th grade,537,78,5.38,8,4,0.55,0.2887,0.0164,0.001129867,0.997259259,0.001610917,0
73,17,"Dietary supplements and vitamins, including vitamin D and high-dose vitamin C, have also been explored for COVID-19 treatment. Despite the promising claims and potential rationale behind their anti-COVID-19 activities, their preventive or therapeutic effectiveness has not been definitively established in randomized trials.",chatgpt,False,16.32,0.0,16.2,20.54,20.8,14.45,20,18.0,20,20.78,20th and 21st grade,324,42,6.62,0,2,0.88,0.1205,0.0152,0.983905733,0.003060528,0.013033694,0
187,4,the intravenous recombinant ace2 was reported as effective therapy for severe covid-19 by blocking the viral entry into the target cell.,augmented,True,33.24,0.0,13.8,14.21,15.1,14.45,10,15.5,10,17.92,13th and 14th grade,136,21,5.48,0,1,0.9,0.1763,0.0317,0.994216323,0.002933611,0.00285008,1
77,2,"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 10% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",chatgpt,False,46.61,0.0,12.8,13.93,16.7,11.62,14,16.25,14,15.51,16th and 17th grade,317,48,5.46,1,3,0.83,0.0122,0.0807,0.992601573,0.002640877,0.004757552,0
9,1,"The modeled results of COVID-19 spread in New York State and the UK have demonstrated that testing and containment measures have no significant impact on the number of positive cases. The number of positive cases will continue to increase in both New York State and the UK throughout March 2021, regardless of the testing and containment measures.",chatgpt,False,51.01,0.0,13.2,12.25,16.9,10.31,14,18.25,14,15.61,12th and 13th grade,347,56,5.07,1,2,0.61,0.0565,0.0122,0.006453006,0.987022698,0.006524359,0
173,0,a 5-day course of ivermectin proved to be safe and effective in treating adult patients with mild covid-19.,augmented,True,78.59,0.0,6.8,10.44,11.1,13.3,4,9.0,4,9.42,6th and 7th grade,107,18,4.83,1,1,1.0,0.5583,0.0165,0.990924835,0.002507864,0.006567336,1
165,76,"Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate white blood cells as a therapeutic target for COVID-19.",human,True,58.28,0.0,8.4,12.63,11.4,12.18,9,7.5,9,11.35,7th and 8th grade,170,26,5.27,1,2,1.0,0.209,0.0167,0.456876159,0.004949316,0.53817451,1
43,28,"It is noteworthy that pure silver and silver-contained stainless steel surfaces do not demonstrate inhibitory effects on SARS-CoV-2 and H1N1 viruses. Conversely, the presence of pure copper and copper-contained stainless steel, particularly those with a high copper content, exhibits compelling antiviral properties.",chatgpt,False,33.24,0.0,13.8,19.43,19.9,12.2,16,14.5,16,14.11,13th and 14th grade,316,42,6.43,0,2,0.86,0.2636,0.0798,0.001023406,0.997987628,0.000988972,0
97,8,Microscopic abnormalities have been observed in both finger and toenails of patients with COVID-19. This suggests that chilblains might be a symptom of COVID-19.,human,True,67.76,0.0,6.8,14.2,11.7,10.81,7,6.0,7,8.13,6th and 7th grade,161,24,5.67,0,2,0.92,0.0132,0.0218,0.991993427,0.001889775,0.00611673,1
62,25,"We observed a substantial influence of age on ICU admissions. This is likely due to the fact that in the first wave of COVID-19 in Spain, a significant number of elderlies died in nursing homes before they could even be hospitalized or admitted to the ICU.",chatgpt,False,56.59,0.0,11.1,9.12,11.7,9.58,9,15.0,9,15.29,9th and 10th grade,256,46,4.52,0,2,0.8,0.0188,0.0283,0.319648623,0.028752858,0.651598573,0
166,77,A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,human,True,52.19,0.0,10.7,12.94,13.6,11.23,12,12.5,12,11.81,12th and 13th grade,243,34,5.65,4,2,0.65,0.2828,0.0206,0.00194186,0.995754123,0.002303985,1
136,47,"150 patients were randomized to favipiravir or the control group. Median time to the cessation of viral shedding was 5 days versus 7 days, and median time to clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. Adverse events were observed in 36% of favipiravir and 8% of control patients.",human,True,61.67,11.2,9.1,10.15,10.8,10.67,13,11.0,13,10.9,10th and 11th grade,319,47,5.28,6,3,0.6,0.032,0.0187,0.008830946,0.002694536,0.988474548,1
82,15,"We found that the number of cases of SARS-CoV-2 infection showed significant variations in both barracks-style and apartment-style buildings. The rate of infection in barracks-style buildings was influenced by multiple factors, including the density of occupants and limited physical distancing measures. On the other hand, apartment-style buildings exhibited a range of infection rates, depending on factors such as ventilation systems and compliance with preventive measures.",chatgpt,False,32.53,17.1,14.1,18.51,19.3,11.76,22,16.83333333,22,18.53,18th and 19th grade,477,65,6.26,0,3,0.74,0.027,0.0318,0.008758735,0.986948609,0.004292646,0
109,20,"Migrant worker cases were younger, had few medical comorbidities and less severe disease. As the migrant worker cases increased, the proportion of patients with pneumonia decreased, whilst patients presenting earlier in their illness and asymptomatic disease became more common.",human,True,34.76,0.0,13.3,17.69,17.3,11.89,16,13.25,16,14.98,11th and 12th grade,278,39,6.03,0,2,0.85,0.0811,0.2325,0.982435584,0.001386197,0.016178202,1
74,7,"Many people who are infected with the virus do not present with any clinical symptoms, making it challenging to identify and control the spread of the disease. Current estimates suggest that a substantial proportion, approximately 30%, of individuals who have SARS-CoV-2 antibodies in their blood remain asymptomatic throughout the course of the infection. These asymptomatic individuals unknowingly carry the virus and have the potential to unknowingly transmit it to others, thereby playing a significant role in the further spread of the disease. Consequently, it becomes crucial to implement comprehensive testing and contact tracing measures to detect and isolate asymptomatic carriers in order to prevent the transmission and mitigate the risk of severe COVID-19 disease in vulnerable populations.",chatgpt,False,24.82,18.0,17.1,16.72,20.8,12.11,43,18.25,43,19.58,17th and 18th grade,803,116,5.82,1,4,0.66,0.012,0.1097,0.722627819,0.007324618,0.270047456,0
217,11,"150 patients were randomly assigned to favipiravir or the control group. the median time for the cessation of viral detachment was 5 days versus 7 days, and the median time for the clinical cure was 3 days versus 5 days, for favipiravir and control, respectively. adverse events were observed in 36% of favipiravir and 8% of control patients.",augmented,True,60.35,11.9,9.6,10.44,11.4,10.58,14,12.0,14,11.86,11th and 12th grade,342,51,5.24,6,3,0.55,0.0271,0.0161,0.009032118,0.002780367,0.988187492,1
135,46,"While molecular testing has been the primary means of diagnosing acute COVID-19 infection, blood testing is gaining importance for diagnosing minor infections or supporting the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",human,True,10.91,0.0,22.4,17.19,27.7,13.85,16,32.5,16,26.5,-1th and 0th grade,294,43,5.81,0,1,0.81,0.0782,0.029,0.994181335,0.002456937,0.00336167,1
1,16,"COVID-19 patients with asthma had a significantly increased risk for mortality in Europe, North America, and South America, but not in Asia.",chatgpt,False,40.69,0.0,13.1,12.76,15.1,11.9,6,15.0,6,12.44,12th and 13th grade,140,22,5.23,0,1,0.91,0.0232,0.0158,0.000945868,0.998168468,0.000885616,0
31,20,"The presence of certain naturally occurring compounds, such as terpenoids, flavonoids, and phenolic compounds, has been observed to potentially contribute to the recovery of patients with COVID-19. These compounds are believed to possess beneficial properties, including potential anti-inflammatory effects and immune system modulation.",chatgpt,False,15.81,0.0,16.4,21.17,21.5,14.25,23,16.75,23,19.76,16th and 17th grade,336,43,6.67,0,2,0.86,0.6037,0.0207,0.988831162,0.004998832,0.006170001,0
98,9,"COVID-19 patients with recurrent epileptic seizures had more underlying neurological diseases than patients who had an epilepsy history but without a seizure. Patients with new-onset and recurrent epileptic seizures suffered more severe/critical COVID-19, which may lead to a worse prognosis.",human,True,42.72,0.0,12.3,18.39,18.4,10.94,12,13.5,12,13.0,12th and 13th grade,292,41,6.07,0,2,0.78,0.0094,0.0203,0.994230866,0.002542784,0.003226342,1
210,10,"although molecular tests have been the main means to diagnose covid-19 acute infection, blood tests are gaining importance to diagnose minor infections or support the diagnosis of difficulty breathing in cases where the pathogen is no longer detectable in the upper respiratory tract.",augmented,True,19.37,0.0,21.2,15.86,26.6,14.22,15,30.5,15,24.64,-1th and 0th grade,284,43,5.58,0,1,0.84,0.0689,0.0344,0.994155526,0.002576282,0.003268278,1
124,35,"COVID-19 patients with recurrent epileptic seizures had more underlying neurological diseases than patients who had an epilepsy history but without a seizure. Patients with new-onset and recurrent epileptic seizures suffered more severe/critical COVID-19, which may lead to a worse prognosis.",human,True,42.72,0.0,12.3,18.39,18.4,10.94,12,13.5,12,13.0,12th and 13th grade,292,41,6.07,0,2,0.78,0.0094,0.0203,0.994230866,0.002542784,0.003226342,1
87,5,"A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. However, it is important to note that the anakinra-treated group had a significantly lower rate of ICU admissions (12%) compared to the control group (42%). Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group, showcasing the efficacy of the treatment, while the control group showed a lower success rate of 27%.",chatgpt,False,46.81,15.0,12.8,12.6,16.0,10.68,19,16.5,19,14.1,12th and 13th grade,463,67,5.42,6,3,0.61,0.23,0.0151,0.002011972,0.99530077,0.002687305,0
28,20,"After a third Pfizer vaccine, both immunocompromised individuals and seniors reported experiences that closely mirrored the reactions observed with previous vaccinations. Notably, the majority of these reactions were self-resolving in nature. Among the systemic side effects reported, fatigue, myalgia, and fever emerged as the most frequently encountered symptoms, affecting 19.6%, 9.2%, and 8.1% of individuals respectively.",chatgpt,False,26.27,13.3,12.4,18.08,15.4,13.5,26,7.8,26,13.77,13th and 14th grade,426,53,6.55,3,3,0.83,0.0378,0.0264,0.076957718,0.911867082,0.01117522,0
95,6,Microscopic abnormalities have been observed in both finger and toenails of patients with COVID-19. This suggests that chilblains might be a symptom of COVID-19.,human,True,67.76,0.0,6.8,14.2,11.7,10.81,7,6.0,7,8.13,6th and 7th grade,161,24,5.67,0,2,0.92,0.0132,0.0218,0.991993427,0.001889775,0.00611673,1
94,5,A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,human,True,52.19,0.0,10.7,12.94,13.6,11.23,12,12.5,12,11.81,12th and 13th grade,243,34,5.65,4,2,0.65,0.2828,0.0206,0.00194186,0.995754123,0.002303985,1
26,17,"Grouping samples into pools of five for PCR testing not only significantly increased coronavirus testing capacity but also streamlined the overall testing process. This approach demonstrated comparable sensitivity to individual sample testing, ensuring accurate detection of the virus while optimizing resource utilization.",chatgpt,False,7.86,0.0,17.4,21.23,20.7,14.08,21,16.5,21,19.83,16th and 17th grade,323,42,6.64,0,2,0.88,0.3967,0.0184,0.208737016,0.78143692,0.00982616,0
157,68,"Of all the patients, 9.1% required admission to the intensive care unit (ICU), of whom 83% died. The average length of ICU stay was 11 days. The observed mortality rates in blood groups A, B, AB and 0 were 86.4%, 93.3%, 80.0% and 70.8%, respectively, indicating similar death rates in all ABO blood types. When the Rh phenotype was taken into consideration, no significant changes in results were seen.",human,True,69.89,10.0,6.0,7.11,6.3,12.59,14,5.357142857,14,9.76,5th and 6th grade,402,61,4.74,8,4,0.79,0.0106,0.0238,0.99196434,0.002640745,0.005394844,1
156,67,Early experience with COVID-19 patients suggests that gastrointestinal symptoms are common and associated with greater severity of illness.,human,True,19.37,0.0,15.0,21.11,19.5,15.06,9,13.0,9,16.09,14th and 15th grade,139,18,6.72,0,1,0.94,0.019,0.017,0.984045863,0.00713312,0.008820993,1
24,16,"Female COVID-19 patients demonstrated a lower susceptibility to severe dengue compared to male patients in the main analysis. Notably, the study highlighted that pre-existing comorbidities such as diabetes, hypertension, renal disease, and cardiovascular disease were associated with an increased risk of severe disease.",chatgpt,False,15.81,0.0,16.4,19.14,19.8,13.88,19,15.75,19,17.9,15th and 16th grade,320,43,6.33,0,2,0.86,0.0204,0.0635,0.351616502,0.634262621,0.014120933,0
42,9,"It is intriguing to discover that pure silver, silver-contained stainless steel surfaces, and various other commonly used materials, such as plastics and glass, do not display inhibitory effects on SARS-CoV-2 and H1N1 viruses. However, in stark contrast, both pure copper and copper-contained stainless steel, with their high copper content, exhibit remarkable and significant antiviral properties.",chatgpt,False,26.64,0.0,16.4,17.82,21.8,11.89,19,20.75,19,18.27,17th and 18th grade,398,55,6.07,0,2,0.85,0.2676,0.0507,0.001689334,0.996285915,0.002024753,0
185,4,intravenous recombinant ace2 was reported as an effective therapy in severe covid-19 when blocking viral entry into target cells.,augmented,True,26.81,0.0,14.2,16.01,15.6,16.21,10,14.5,10,18.13,15th and 16th grade,129,19,5.79,0,1,1.0,0.1752,0.0323,0.993782341,0.003023809,0.003193867,1
80,28,"We estimate that among 100,000 airline travelers, with no testing or screening, there would be approximately 850 actively infectious passengers. A pre-travel PCR test would reduce the number of infected passengers to around 730. A rapid antigen test on the day of travel would further decrease the number of infected passengers to approximately 690.",chatgpt,False,44.75,14.6,11.5,13.45,13.4,10.96,14,13.0,14,12.39,12th and 13th grade,349,50,5.5,4,3,0.72,0.0183,0.0784,0.005082995,0.992058456,0.002858545,0
78,17,"We estimate that among 100,000 airline travelers, with no testing or screening, there would be [MASK] actively infectious passengers. A pre-travel PCR test would reduce the number of infected passengers to [MASK]. A rapid antigen test on the day of travel would reduce the number of infected passengers to [MASK].",chatgpt,False,54.52,13.6,9.8,11.54,11.8,9.83,12,11.66666667,12,11.48,11th and 12th grade,313,49,5.02,1,3,0.67,0.019,0.1334,0.017762203,0.964810073,0.017427702,0
127,38,"COVID-19 patients with recurrent epileptic seizures had more underlying neurological diseases than patients who had an epilepsy history but without a seizure. Patients with new-onset and recurrent epileptic seizures suffered more severe/critical COVID-19, which may lead to a worse prognosis.",human,True,42.72,0.0,12.3,18.39,18.4,10.94,12,13.5,12,13.0,12th and 13th grade,292,41,6.07,0,2,0.78,0.0094,0.0203,0.994230866,0.002542784,0.003226342,1
159,70,"There appears to be an age gradient, with younger children seemingly less susceptible to SARS-CoV-2 and less likely to pass it on. The BNT162b2 vaccine appeared well tolerated in children aged 12Â–15 years, although the study was too small to identify any rare side-effects.",human,True,57.61,0.0,10.7,12.01,14.2,11.55,11,14.0,11,13.35,13th and 14th grade,274,43,5.14,1,2,0.88,0.0856,0.0335,0.994630694,0.002405345,0.00296399,1
223,13,"of all patients, 9.1% required admission to the intensive care unit (icu), of which 83% died. the average duration of the uci stay was 11 days. the mortality rates observed in blood groups a, b, ab and 0 were 86.4%, 93.3%, 80.0%and 70.8%, respectively, indicating similar mortality rates in all abo blood types. when the rh phenotype was taken into account, no significant changes were observed in the results.",augmented,True,68.26,10.9,6.6,8.1,7.7,12.9,14,6.583333333,14,10.4,6th and 7th grade,410,62,4.79,8,4,0.73,0.0115,0.0214,0.993320882,0.001796063,0.004883003,1
203,6,"with fingers and toenails of patients with covid-19, microscopic anomalies were observed in both fingers and on toenails. this indicates that chilblains could be a symptom of covid-19.",augmented,True,65.73,0.0,7.6,13.62,12.0,10.53,8,7.0,8,8.46,7th and 8th grade,184,28,5.5,0,2,0.79,0.0203,0.0317,0.992478728,0.001902935,0.005618302,1
37,5,"The findings support the implementation of global recommendations to allocate COVID-19 vaccines based on age, with a particular focus on older age groups. The study observed that as the speed of vaccine rollout increased, certain relative differences between allocation strategies were observed to become less prominent.",chatgpt,False,31.21,0.0,14.6,17.06,18.2,12.67,19,15.5,19,16.16,15th and 16th grade,320,46,5.89,0,2,0.85,0.0858,0.0108,0.074421845,0.913107276,0.012470802,0
5,23,"Results from non-hospitalized patients show that viral shedding in fecal matter is a rare occurrence, and there is no need to take precautions or consider fecal testing as part of COVID-19 diagnosis.",chatgpt,False,30.54,0.0,17.0,13.07,19.3,12.63,11,21.0,11,19.05,12th and 13th grade,199,32,5.19,0,1,0.94,0.0305,0.0278,0.015364084,0.979607105,0.005028788,0
182,2,"during the 14 -day study period, six patients survived, two were extubated and one dispensed. the results imply white blood cells as a therapeutic target for covid-19.",augmented,True,57.77,0.0,8.6,11.13,9.9,11.91,9,7.25,9,9.84,9th and 10th grade,167,26,5.15,1,2,0.96,0.2341,0.0199,0.992514551,0.002138342,0.00534704,1
